quadweek,year_week,basket,CountProduct_W,StockQty_W,Stock$_W,AvgAgeStock,PurchaseQty,Purchase$,AvgListPrice,SoldQty,SoldQty_In,SoldQty_Out,SoldQty_OutByCondition,SoldQty_OutByMinPrice,SoldQty_none,SoldToStock_W,SoldToStock_W_In,SoldToStock_W_Out,SoldToStock_W_OutByCondition,SoldToStock_W_OutByMinPrice,SoldToStock_W_none,AvgSalesPeriod,AvgSalesPeriod_In,AvgSalesPeriod_Out,AvgSalesPeriod_OutByCondition,AvgSalesPeriod_OutByMinPrice,AvgSalesPeriod_none,Revenue,Revenue_In,Revenue_Out,Revenue_OutByCondition,Revenue_OutByMinPrice,Revenue_none,AvgSalePrice,AvgSalePrice_In,AvgSalePrice_Out,AvgSalePrice_OutByCondition,AvgSalePrice_OutByMinPrice,AvgSalePrice_none,Recap,Recap_In,Recap_Out,Recap_OutByCondition,Recap_OutByMinPrice,Recap_none,RecapPerStockQty_W,RecapPerStockQty_W_In,RecapPerStockQty_W_Out,RecapPerStockQty_W_OutByCondition,RecapPerStockQty_W_OutByMinPrice,RecapPerStockQty_W_none,RecapPerStock$_W,RecapPerStock$_W_In,RecapPerStock$_W_Out,RecapPerStock$_W_OutByCondition,RecapPerStock$_W_OutByMinPrice,RecapPerStock$_W_none,Margin,Margin_In,Margin_Out,Margin_OutByCondition,Margin_OutByMinPrice,Margin_none,MarginUnit,MarginUnit_In,MarginUnit_Out,MarginUnit_OutByCondition,MarginUnit_OutByMinPrice,MarginUnit_none,RecapUnit,RecapUnit_In,RecapUnit_Out,RecapUnit_OutByCondition,RecapUnit_OutByMinPrice,RecapUnit_none,Avg_Basket_IRR,Avg_Basket_Velocity,Avg_Basket_Margin,Avg_IRR,Avg_Margin,Avg_SaleDuration,FDR
16,2026-12,1154,67,276.25,7841.085,399.2124914,7,193.53,114.3263167,9,4,1,4,,,3.26%,1.45%,0.00361991,0.014479638,,,161.7777778,187.75,177,132,,,774.69,383.36,113.01,278.32,,,86.07666667,95.84,113.01,69.58,,,547.41,269.72,72.73,204.96,,,1.981574661,0.976361991,0.263276018,0.741936652,,,0.070,0.034398301,0.009275502,0.02613924,,,317.93,168.97,48.21,100.75,,,35.32555556,42.2425,48.21,25.1875,,,60.82333333,67.43,72.73,51.24,,,1,1,5,-0.594262659,32.67453394,2004.44267,100.00%
16,2026-12,1211,3,451.25,11191.086,111.85719,15,393.06,41.90708587,32,32,,,,,7.09%,7.09%,,,,,165.1875125,165.1875125,,,,,1375.61,1375.61,,,,,42.9878125,42.9878125,,,,,679.72,679.72,,,,,1.506304709,1.506304709,,,,,0.061,0.060737626,,,,,-141.5,-141.5,,,,,-4.421875,-4.421875,,,,,21.24125,21.24125,,,,,1,2,1,-0.567939464,-9.245529086,146.2757673,42.53%
16,2026-12,1212,2,162.25,3843.493,79.66395069,8,201.37,42.12244992,11,11,,,,,6.78%,6.78%,,,,,142.7273,142.7273,,,,,437.25,437.25,,,,,39.75,39.75,,,,,223.75,223.75,,,,,1.379044684,1.379044684,,,,,0.058,0.058215274,,,,,-42.38,-42.38,,,,,-3.852727273,-3.852727273,,,,,20.34090909,20.34090909,,,,,1,2,1,-0.704982202,-13.81875193,138.251433,27.83%
16,2026-12,1213,81,1472.5,35646.67,82.15075671,92,2336.68,38.71617657,226,203,2,,21,,15.35%,13.79%,0.001358234,,0.01426146,,99.2964531,96.7536867,41,,129.4285714,,8089.78,7236.17,82.82,,770.79,,35.79548673,35.64615764,41.41,,36.70428571,,3669.33,3288.63,46.78,,333.92,,2.491904924,2.233365025,0.0317691,,0.226770798,,0.103,0.092256303,0.001312325,,0.009367495,,-1959.09,-1779.99,1.26,,-180.36,,-8.668539823,-8.768423645,0.63,,-8.588571429,,16.23597345,16.20014778,23.39,,15.90095238,,1,2,1,-0.657013488,-11.95296774,135.010292,34.20%
16,2026-12,1214,806,2667.083,63760.352,70.77782874,222,5700.63,41.64940842,350,134,136,14,60,6,13.12%,5.02%,0.050992039,0.00524918,0.022496488,0.002249649,65.50000029,64.08955299,71.61764706,94.85714286,50.51666667,39.66666667,12666.4,5367.62,4273.98,494.98,2329.23,200.59,36.18971429,40.05686567,31.42632353,35.35571429,38.8205,33.43166667,5236.56,2368.08,1478.3,250.68,1079.24,60.26,1.963403464,0.887891378,0.554275964,0.093990326,0.404651824,0.022593973,0.082,0.037140322,0.023185255,0.003931597,0.016926506,0.000945101,-3401.68,-852.43,-2006.48,-105.1,-338.08,-99.59,-9.719085714,-6.36141791,-14.75352941,-7.507142857,-5.634666667,-16.59833333,14.9616,17.67223881,10.86985294,17.90571429,17.98733333,10.04333333,1,2,1,-0.638020839,-9.548786138,138.9808931,39.51%
16,2026-12,1215,1476,1515.417,37149.514,67.46807144,183,4807.46,39.85333923,111,38,24,5,41,3,7.32%,2.51%,0.015837225,0.003299422,0.027055259,0.001979653,47.5045045,34.94736842,43.54166667,94.8,55.80487805,46,4408.89,1677.27,855.85,198.53,1540.65,136.59,39.71972973,44.13868421,35.66041667,39.706,37.57682927,45.53,1757.94,692.41,251.29,94.28,646.66,73.3,1.160037138,0.45691054,0.165822345,0.062213899,0.42672083,0.048369525,0.047,0.018638467,0.006764288,0.002537853,0.017406957,0.001973108,-1005.99,-250.11,-368.75,-38.04,-365.63,16.54,-9.062972973,-6.581842105,-15.36458333,-7.608,-8.917804878,5.513333333,15.8372973,18.22131579,10.47041667,18.856,15.77219512,24.43333333,1,2,1,-0.662260581,-6.674483248,137.5728369,56.36%
16,2026-12,1224,12,23,502.81,49.32608696,,,46.71521739,2,2,,,,,8.70%,8.70%,,,,,44,44,,,,,107.64,107.64,,,,,53.82,53.82,,,,,51.5,51.5,,,,,2.239130435,2.239130435,,,,,0.102,0.102424375,,,,,9.99,9.99,,,,,4.995,4.995,,,,,25.75,25.75,,,,,1,2,2,-0.503556652,-2.306521739,149.3804348,92.00%
16,2026-12,1225,214,214.5,4682.875,62.12121212,5,128.72,43.60484848,21,10,3,2,1,5,9.79%,4.66%,0.013986014,0.009324009,0.004662005,0.023310023,58.80952381,62.8,59.66666667,39,106,48.8,902.86,420.71,138.26,79,38.75,226.14,42.99333333,42.071,46.08666667,39.5,38.75,45.228,364.32,168.5,54.82,26.9,23.97,90.13,1.698461538,0.785547786,0.255571096,0.125407925,0.111748252,0.42018648,0.078,0.035982169,0.011706484,0.005744334,0.00511865,0.019246723,-115.56,-55.75,-16.77,-23.28,12.42,-32.18,-5.502857143,-5.575,-5.59,-11.64,12.42,-6.436,17.34857143,16.85,18.27333333,13.45,23.97,18.026,1,2,2,-0.54144555,-2.020932401,144.560979,96.21%
16,2026-12,1312,2,107,2568.303,65.45834579,6,171.88,42.80607477,2,2,,,,,1.87%,1.87%,,,,,64,64,,,,,86.07,86.07,,,,,43.035,43.035,,,,,40.7,40.7,,,,,0.380373832,0.380373832,,,,,0.016,0.01584704,,,,,-10.43,-10.43,,,,,-5.215,-5.215,,,,,20.35,20.35,,,,,1,3,1,-0.520638458,-8.952803738,64.68635514,28.42%
16,2026-12,1313,25,436.5,10552.694,55.42603952,39,1039.97,41.23231386,31,20,,,11,,7.10%,4.58%,,,0.025200458,,53.09677742,71.000005,,,20.54545455,,1216.38,826.88,,,389.5,,39.23806452,41.344,,,35.40909091,,625.57,406.86,,,218.71,,1.433150057,0.93209622,,,0.501053837,,0.059,0.038555084,,,0.020725513,,-146.73,-76.35,,,-70.38,,-4.733225806,-3.8175,,,-6.398181818,,20.17967742,20.343,,,19.88272727,,1,3,1,-0.579691816,-10.57436999,75.53899771,25.72%
