quadweek,year_week,basket,product BS,CountProduct_W,StockQty_W,Stock$_W,AvgAgeStock,PurchaseQty,Purchase$,AvgListPrice,SoldQty,SoldQty_In,SoldQty_Out,SoldQty_OutByCondition,SoldQty_OutByMinPrice,SoldQty_none,SoldToStock_W,SoldToStock_W_In,SoldToStock_W_Out,SoldToStock_W_OutByCondition,SoldToStock_W_OutByMinPrice,SoldToStock_W_none,AvgSalesPeriod,AvgSalesPeriod_In,AvgSalesPeriod_Out,AvgSalesPeriod_OutByCondition,AvgSalesPeriod_OutByMinPrice,AvgSalesPeriod_none,Revenue,Revenue_In,Revenue_Out,Revenue_OutByCondition,Revenue_OutByMinPrice,Revenue_none,AvgSalePrice,AvgSalePrice_In,AvgSalePrice_Out,AvgSalePrice_OutByCondition,AvgSalePrice_OutByMinPrice,AvgSalePrice_none,Recap,Recap_In,Recap_Out,Recap_OutByCondition,Recap_OutByMinPrice,Recap_none,RecapPerStockQty_W,RecapPerStockQty_W_In,RecapPerStockQty_W_Out,RecapPerStockQty_W_OutByCondition,RecapPerStockQty_W_OutByMinPrice,RecapPerStockQty_W_none,RecapPerStock$_W,RecapPerStock$_W_In,RecapPerStock$_W_Out,RecapPerStock$_W_OutByCondition,RecapPerStock$_W_OutByMinPrice,RecapPerStock$_W_none,Margin,Margin_In,Margin_Out,Margin_OutByCondition,Margin_OutByMinPrice,Margin_none,MarginUnit,MarginUnit_In,MarginUnit_Out,MarginUnit_OutByCondition,MarginUnit_OutByMinPrice,MarginUnit_none,RecapUnit,RecapUnit_In,RecapUnit_Out,RecapUnit_OutByCondition,RecapUnit_OutByMinPrice,RecapUnit_none,Avg_Basket_IRR,Avg_Basket_Velocity,Avg_Basket_Margin,Avg_IRR,Avg_Margin,Avg_SaleDuration,FDR
16,2026-12,1123,BasketDiscountInMarket,20,338.5,8058.955,271.5462814,11,268.52,53.58667651,1,1,,,,,0.30%,0.30%,,,,,855,855,,,,,57.32,57.32,,,,,57.32,57.32,,,,,30.69,30.69,,,,,0.090664697,0.090664697,,,,,0.004,0.003808186,,,,,9.96,9.96,,,,,9.96,9.96,,,,,30.69,30.69,,,,,1,1,2,-0.737402799,0.148803545,1323.985569,85.95%
16,2026-12,1123,BasketDiscountOutOfMarket,1,15,368.58,82.3,1,22.93,57.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,-0.538161,1.81,554.64,68.00%
16,2026-12,1123,BasketDiscountOutOfMarketByCondition,1,11,271.49,110.5,,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,-0.510309,-0.21,394.38,85.00%
16,2026-12,1124,BasketDiscountInMarket,182,541.917,12191.727,305.9605684,8,192.6,50.1728783,12,8,,,,4,2.21%,1.48%,,,,0.007381204,286.0833333,224.75,,,,408.75,589.2,419.64,,,,169.56,49.1,52.455,,,,42.39,217.63,162.75,,,,54.88,0.401592864,0.300322743,,,,0.101270121,0.018,0.013349216,,,,0.004501413,-60.57,-38.57,,,,-22,-5.0475,-4.82125,,,,-5.5,18.13583333,20.34375,,,,13.72,1,1,2,-0.738287033,-0.679610402,1237.589397,91.14%
16,2026-12,1124,BasketDiscountOutOfMarket,55,134,3179.935,307.4328358,,,50.42567164,6,,6,,,,4.48%,,0.044776119,,,,324.5,,324.5,,,,289.07,,289.07,,,,48.17833333,,48.17833333,,,,149.99,,149.99,,,,1.119328358,,1.119328358,,,,0.047,,0.047167631,,,,6.38,,6.38,,,,1.063333333,,1.063333333,,,,24.99833333,,24.99833333,,,,1,1,2,-0.725354985,-0.786044776,1184.268396,94.17%
16,2026-12,1124,BasketDiscountOutOfMarketByCondition,20,51.5,1301.533,313.5024078,1,30.19,53.81679612,1,1,,,,,1.94%,1.94%,,,,,243,243,,,,,56.32,56.32,,,,,56.32,56.32,,,,,22.61,22.61,,,,,0.439029126,0.439029126,,,,,0.017,0.017371822,,,,,-4.59,-4.59,,,,,-4.59,-4.59,,,,,22.61,22.61,,,,,1,1,2,-0.756468888,-1.125,1248.553447,91.51%
16,2026-12,1124,BasketDiscountOutOfMarketByMinPrice,24,61.75,919.088,659.6419028,3,75.72,38.55348178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,-0.854612534,-1.534291498,1732.032551,92.45%
16,2026-12,1124,none,22,60,1466.84,184.0833333,,,51.95816667,2,,,,,2,3.33%,,,,,0.033333333,116.5,,,,,116.5,105.98,,,,,105.98,52.99,,,,,52.99,56.72,,,,,56.72,0.945333333,,,,,0.945333333,0.039,,,,,0.038668157,6.56,,,,,6.56,3.28,,,,,3.28,28.36,,,,,28.36,1,1,2,-0.7360021,-0.908166667,1165.5115,98.90%
16,2026-12,1125,BasketDiscountInMarket,459,461.5,9901.056,323.1155878,10,252.3,46.16438787,19,19,,,,,4.12%,4.12%,,,,,248.8421053,248.8421053,,,,,797.89,797.89,,,,,41.99421053,41.99421053,,,,,235.87,235.87,,,,,0.511094258,0.511094258,,,,,0.024,0.023822711,,,,,-103.85,-103.85,,,,,-5.465789474,-5.465789474,,,,,12.41421053,12.41421053,,,,,1,1,2,-0.650449196,-1.110877573,613.2787216,94.46%
16,2026-12,1125,BasketDiscountOutOfMarket,622,622,13043.75,394.2926045,2,54.98,45.84099678,18,,17,,,1,2.89%,,0.02733119,,,0.001607717,259.1111111,,274.2941176,,,1,821.05,,794.66,,,26.39,45.61388889,,46.74470588,,,26.39,307.46,,303.91,,,3.55,0.494308682,,0.488601286,,,0.005707395,0.024,,0.023299281,,,0.000272161,-86.99,,-66.2,,,-20.79,-4.832777778,,-3.894117647,,,-20.79,17.08111111,,17.87705882,,,3.55,1,1,2,-0.678573678,-0.965659164,708.3617363,98.45%
